DATA/PARCELA/VALOR DISTRIBUIDO
FPM   - FUNDO DE PARTICIPACAO DOS MUNICIPIOS, , 
20.04.2022, ORIGEM ITR, 51_95C
, ORIGEM IPVA, 12.420_54C
, ORIGEM ITCMD, 1.640_13C
, ORIGEM IPI-EXP, 910_55C
, ORIGEM ICMS EST, 148.608_69C
, ORIGEM FPE, 3.818_53C
, ORIGEM FPM, 9.409_31C
, TOTAL NA DATA, 176.859_70C
26.04.2022, ORIGEM ICMS-EST, 16.669_24C
, TOTAL NA DATA, 16.669_24C
27.04.2022, ORIGEM IPVA, 23.168_59C
, ORIGEM ITCMD, 1.483_61C
, ORIGEM ICMS EST, 61.049_48C
, TOTAL NA DATA, 85.701_68C
29.04.2022, ORIGEM ITR, 122_41C
, ORIGEM IPI-EXP, 837_43C
, ORIGEM FPE, 12.797_07C
, ORIGEM FPM, 31.459_01C
, COMPL VAAF AJ, 22.311_32D
, TOTAL NA DATA, 22.904_60C
TOTAL POR PARCELA / NATUREZA, , 
, ORIGEM ITR, 438_04C
, ORIGEM IPVA, 56.943_34C
, ORIGEM ITCMD, 6.884_77C
, ORIGEM IPI-EXP, 5.190_01C
, ORIGEM ICMS EST, 298.307_96C
, ORIGEM ICMS-EST, 86.992_99C
, ORIGEM FPE, 38.420_49C
, ORIGEM FPM, 94.387_01C
, COMPL VAAF AJ, 22.311_32D
, DEBITO FUNDO, 22.311_32D
, CREDITO FUNDO, 587.564_61C
SNA   - SIMPLES NACIONAL, , 
DATA, PARCELA, VALOR DISTRIBUIDO
01.04.2022, SIMPLES NACION., 61_64C
, TOTAL NA DATA, 61_64C
04.04.2022, SIMPLES NACION., 2.206_02C
, TOTAL NA DATA, 2.206_02C
05.04.2022, SIMPLES NACION., 47_04C
, TOTAL NA DATA, 47_04C
06.04.2022, SIMPLES NACION., 23_55C
, TOTAL NA DATA, 23_55C
07.04.2022, SIMPLES NACION., 70_19C
, TOTAL NA DATA, 70_19C
08.04.2022, SIMPLES NACION., 421_31C
, TOTAL NA DATA, 421_31C
11.04.2022, SIMPLES NACION., 36_77C
, TOTAL NA DATA, 36_77C
12.04.2022, SIMPLES NACION., 26_05C
, TOTAL NA DATA, 26_05C
13.04.2022, SIMPLES NACION., 3.415_07C
, TOTAL NA DATA, 3.415_07C
14.04.2022, SIMPLES NACION., 25_82C
, TOTAL NA DATA, 25_82C
18.04.2022, SIMPLES NACION., 136_55C
, TOTAL NA DATA, 136_55C
19.04.2022, SIMPLES NACION., 146_09C
, TOTAL NA DATA, 146_09C
20.04.2022, SIMPLES NACION., 5.003_30C
, TOTAL NA DATA, 5.003_30C
22.04.2022, SIMPLES NACION., 857_34C
, TOTAL NA DATA, 857_34C
25.04.2022, SIMPLES NACION., 12.887_16C
, TOTAL NA DATA, 12.887_16C
26.04.2022, SIMPLES NACION., 346_14C
, TOTAL NA DATA, 346_14C
27.04.2022, SIMPLES NACION., 135_78C
, TOTAL NA DATA, 135_78C
28.04.2022, SIMPLES NACION., 175_23C
, TOTAL NA DATA, 175_23C
29.04.2022, SIMPLES NACION., 18_76C
, TOTAL NA DATA, 18_76C
TOTAL POR PARCELA / NATUREZA, , 
, SIMPLES NACION., 26.039_81C
, DEBITO FUNDO, 0_00D
, CREDITO FUNDO, 26.039_81C
ADO   - LC 176/2020 (ADO25), , 
DATA, PARCELA, VALOR DISTRIBUIDO
29.04.2022, RETENCAO PASEP, 44_69D
, LC 176/2020, 4.469_49C
, TOTAL NA DATA, 4.424_80C
TOTAL POR PARCELA / NATUREZA, , 
, RETENCAO PASEP, 44_69D
, LC 176/2020, 4.469_49C
, DEBITO FUNDO, 44_69D
, CREDITO FUNDO, 4.469_49C
TOTAL DISTRIBUIDO NO PERIODO, , 
, DEBITO BENEF., 1.349.972_50D
, CREDITO BENEF., 3.231.073_01C
