Folha;Data_Contabil;Data_Lancamento;Historico;Detalhe;Lote;Banco;Origem;Documento;Valor;Tipo;Saldo;Eh_Cheque;Notas
2/2;21.12.2018;;103-Cheque Pago em Outra Agênc;;14053;;2195;851580;1.300,00;D;;Sim;
2/2;21.12.2018;;345-BB CP Administrat Supremo;;;;;070;200,00;D;0,00 C;Nao;
3/3;28.02.2019;;002-Cheque;;19222;;;851648;3.500,00;D;;Sim;
3/3;28.02.2019;;855-BB CP Administrat Supremo;;;;;070;3.500,00;C;0,00 C;Nao;
3/3;23.11.2018;;976-TED-Crédito em Conta;;14175;;;7361520;6.011,16;C;;Nao;
3/3;23.11.2018;;002-Cheque;;12162;;;851557;6.000,00;D;;Sim;
3/3;23.11.2018;;002-Cheque;;12162;;;851562;3.480,00;D;;Sim;
3/3;23.11.2018;;855-BB CP Administrat Supremo;;;;;070;1.468,84;C;0,00 C;Nao;
3/3;26.11.2018;;870-Transferência recebida;;99015;;;551765000007748;3.960,00;C;;Nao;
3/3;26.11.2018;;002-Cheque;;12162;;;851563;1.200,00;D;;Sim;
3/3;26.11.2018;;102-Cheque Compensado;;13079;756;1981;851560;800,00;D;;Sim;
3/3;26.11.2018;;345-BB CP Administrat Supremo;;;;;070;1.960,00;D;0,00 C;Nao;
3/3;28.11.2018;;002-Cheque;;12162;;;851561;1.960,00;D;;Sim;
3/3;28.11.2018;;855-BB CP Administrat Supremo;;;;;070;1.960,00;C;0,00 C;Nao;
3/3;29.11.2018;;870-Transferência recebida;;99015;;;551765000016889;1.200,00;C;;Nao;
3/3;29.11.2018;;870-Transferência recebida;;99015;;;551765000016889;3.000,00;C;;Nao;
3/3;29.11.2018;;002-Cheque;;12162;;;851555;3.000,00;D;;Sim;
3/3;29.11.2018;;002-Cheque;;12162;;;851564;1.200,00;D;0,00 C;Sim;
3/3;25.04.2019;;345-BB CP Administrat Supremo;;;;;070;57,00;D;0,00 C;Nao;
3/3;26.04.2019;;870-Transferência recebida;;99015;;;551765000003519;7.060,00;C;;Nao;
3/3;26.04.2019;;976-TED-Crédito em Conta;;14175;;;9544763;1.500,00;C;;Nao;
3/3;26.04.2019;;002-Cheque;;12162;;;141130;2.500,00;D;;Sim;
3/3;26.04.2019;;002-Cheque;;12162;;;141135;3.660,00;D;;Sim;
3/3;26.04.2019;;002-Cheque;;19640;;;141136;3.400,00;D;;Sim;
3/3;26.04.2019;;002-Cheque;;12162;;;141138;1.500,00;D;;Sim;
3/3;26.04.2019;;855-BB CP Administrat Supremo;;;;;070;2.500,00;C;0,00 C;Nao;
3/3;29.04.2019;;102-Cheque Compensado;;13079;756;1981;141129;300,00;D;;Sim;
3/3;29.04.2019;;102-Cheque Compensado;;13079;341;1981;141140;1.080,00;D;;Sim;
3/3;29.04.2019;;855-BB CP Administrat Supremo;;;;;070;728,77;C;;Nao;
3/3;29.04.2019;;603-Cheque Devolvido sem Fundo;;14079;;;141140;1.080,00;C;;Sim;
3/3;29.04.2019;;248-Estorno Resgate Automático;;;;;070;728,77;D;;Nao;
3/3;29.04.2019;;855-BB CP Administrat Supremo;;;;;070;300,00;C;0,00 C;Nao;
3/3;30.04.2019;;202-Taxa BACEN Devolução Docum;;13113;;;141140;0,35;D;;Nao;
3/3;30.04.2019;;855-BB CP Administrat Supremo;;;;;070;1,00;C;;Nao;
3/3;30.04.2019;;345-BB CP Administrat Supremo;;;;;070;0,65;D;0,00 C;Nao;
2/2;20.10.2020;;102-Cheque Compensado;;13079;756;1981;141347;2.600,00;D;;Sim;
2/2;20.10.2020;;855-BB CP Automatico S Publico;;;;;070;330,00;C;0,00 C;Nao;
2/2;26.10.2020;;870-Transferência recebida;26/10 1765 10242-3 PM CENTENARIO;99015;;;551765000010242;3.000,00;C;;Nao;
2/2;26.10.2020;;002-Cheque;;12162;;;141348;2.580,26;D;;Sim;
2/2;26.10.2020;;345-BB CP Automatico S Publico;;;;;070;419,74;D;0,00 C;Nao;
2/2;28.10.2020;;870-Transferência recebida;28/10 1765 7852-2 PREF MUNIC CEN;99015;;;551765000007852;2.930,00;C;;Nao;
2/2;28.10.2020;;870-Transferência recebida;28/10 1765 8004-7 PREF MUN DESE;99015;;;551765000008004;8.500,00;C;;Nao;
2/2;28.10.2020;;002-Cheque;;12162;;;141349;4.000,00;D;;Sim;
2/2;28.10.2020;;002-Cheque;;12162;;;141350;3.900,00;D;;Sim;
2/2;28.10.2020;;002-Cheque;;12162;;;141351;2.930,00;D;;Sim;
2/2;28.10.2020;;345-BB CP Automatico S Publico;;;;;070;600,00;D;0,00 C;Nao;
2/2;22.09.2020;;870-Transferência recebida;22/09 1765     3519-X PREF MUNIC CEN;99015;;;551765000003519;3.000,00;C;;Nao;
2/2;22.09.2020;;345-BB CP Automatico S Publico;;;;;070;3.000,00;D;0,00 C;Nao;
2/2;23.09.2020;;002-Cheque;;12162;;;141313;2.350,00;D;;Sim;
2/2;23.09.2020;;102-Cheque Compensado;;13079;756;1981;141310;2.000,00;D;;Sim;
2/2;23.09.2020;;102-Cheque Compensado;;13079;756;1981;141312;1.500,00;D;;Sim;
2/2;23.09.2020;;855-BB CP Automatico S Publico;;;;;070;5.850,00;C;0,00 C;Nao;
2/2;25.09.2020;;870-Transferência recebida;25/09 1765     3519-X PREF MUNIC CEN;99015;;;551765000003519;3.000,00;C;;Nao;
2/2;25.09.2020;;002-Cheque;;12162;;;141314;2.999,75;D;;Sim;
2/2;25.09.2020;;345-BB CP Automatico S Publico;;;;;070;0,25;D;0,00 C;Nao;
2/2;28.09.2020;;002-Cheque;;12162;;;141315;2.550,00;D;;Sim;
2/2;28.09.2020;;855-BB CP Automatico S Publico;;;;;070;2.550,00;C;0,00 C;Nao;
1/1;31.07.2020;;Saldo anterior;;;;;;;;0,00 C;Nao;
